,지자체명,통계치
0,강남구(서울특별시),10375.61058
1,강동구(서울특별시),10735.29412
2,강북구(서울특별시),5363.7939
3,강서구(서울특별시),15442.11875
4,관악구(서울특별시),10886.74276
5,광진구(서울특별시),6550.218341
6,구로구(서울특별시),15621.62162
7,금천구(서울특별시),4743.983615
8,노원구(서울특별시),9740.173218
9,도봉구(서울특별시),2952.171996
10,동대문구(서울특별시),8418.848168
11,동작구(서울특별시),40027.70083
12,마포구(서울특별시),8612.516644
13,서대문구(서울특별시),5997.742027
14,서초구(서울특별시),25770.82375
15,성동구(서울특별시),8905.950096
16,성북구(서울특별시),3844.540962
17,송파구(서울특별시),16706.56511
18,양천구(서울특별시),4014.989293
19,영등포구(서울특별시),44838.70968
20,용산구(서울특별시),10689.55043
21,은평구(서울특별시),6908.768822
22,종로구(서울특별시),22061.31768
23,중구(서울특별시),12907.09291
24,중랑구(서울특별시),29924.43325
25,가평군(경기도),0
26,고양시(경기도),0
27,과천시(경기도),4450.746048
28,광명시(경기도),6311.080523
29,광주시(경기도),12021.6757
30,구리시(경기도),0
31,군포시(경기도),0
32,김포시(경기도),0
33,남양주시(경기도),0
34,동두천시(경기도),0
35,부천시(경기도),0
36,성남시(경기도),0
37,수원시(경기도),0
38,시흥시(경기도),11166.97417
39,안산시(경기도),0
40,안성시(경기도),10883.10737
41,안양시(경기도),0
42,양주시(경기도),10918.4197
43,양평군(경기도),95302.4911
44,여주시(경기도),0
45,연천군(경기도),2843.479158
46,오산시(경기도),4498.407708
47,용인시(경기도),0
48,의왕시(경기도),6776.328016
49,의정부시(경기도),0
50,이천시(경기도),0
51,파주시(경기도),7308.667005
52,평택시(경기도),44625.85034
53,포천시(경기도),5389.34861
54,하남시(경기도),6031.855956
55,화성시(경기도),0
56,강릉시(강원도),62088.88889
57,고성군(강원도),8870.710456
58,동해시(강원도),33534.81448
59,삼척시(강원도),0
60,속초시(강원도),25599.07455
61,양구군(강원도),543.458359
62,양양군(강원도),65293.26087
63,영월군(강원도),31305.63218
64,원주시(강원도),87711.86441
65,인제군(강원도),1832.297934
66,정선군(강원도),14348.30373
67,철원군(강원도),35688.1497
68,춘천시(강원도),35372.09302
69,태백시(강원도),190827
70,평창군(강원도),50419.56055
71,홍천군(강원도),49211.63091
72,화천군(강원도),822.9295455
73,횡성군(강원도),18082.59259
74,계룡시(충청남도),1404.207831
75,공주시(충청남도),0
76,금산군(충청남도),9680.109056
77,논산시(충청남도),16833.40065
78,당진시(충청남도),0
79,보령시(충청남도),7844.573171
80,부여군(충청남도),3188.777904
81,서산시(충청남도),2545.676005
82,서천군(충청남도),58439.39035
83,아산시(충청남도),48517.85714
84,예산군(충청남도),12448.02089
85,천안시(충청남도),0
86,청양군(충청남도),25933.20902
87,태안군(충청남도),18548.73992
88,홍성군(충청남도),0
89,괴산군(충청북도),19301.13552
90,단양군(충청북도),8216.30852
91,보은군(충청북도),4304.583144
92,영동군(충청북도),13778.12658
93,옥천군(충청북도),0
94,음성군(충청북도),1553.02543
95,제천시(충청북도),6457.658223
96,증평군(충청북도),0
97,진천군(충청북도),13124.35217
98,청주시(충청북도),0
99,충주시(충청북도),11985.77958
100,강진군(전라남도),3685.401235
101,고흥군(전라남도),1242.738624
102,곡성군(전라남도),5658.09848
103,광양시(전라남도),7605
104,구례군(전라남도),936.0695444
105,나주시(전라남도),51923.57988
106,담양군(전라남도),1790.794026
107,목포시(전라남도),7467.882304
108,무안군(전라남도),8259.290155
109,보성군(전라남도),106464.7119
110,순천시(전라남도),31328.67133
111,신안군(전라남도),13003.67937
112,여수시(전라남도),203370.7865
113,영광군(전라남도),9268.934142
114,영암군(전라남도),5266.919241
115,완도군(전라남도),1369.594452
116,장성군(전라남도),14300.05544
117,장흥군(전라남도),1813.492958
118,진도군(전라남도),2049.658537
119,함평군(전라남도),5713.150248
120,해남군(전라남도),0
121,화순군(전라남도),67344.18321
122,고창군(전라북도),23167.67036
123,군산시(전라북도),0
124,김제시(전라북도),9473.217943
125,남원시(전라북도),3442.240275
126,무주군(전라북도),0
127,부안군(전라북도),687.781335
128,순창군(전라북도),2180.850816
129,완주군(전라북도),0
130,익산시(전라북도),0
131,임실군(전라북도),0
132,장수군(전라북도),0
133,전주시(전라북도),0
134,정읍시(전라북도),0
135,진안군(전라북도),0
136,거제시(경상남도),0
137,거창군(경상남도),0
138,고성군(경상남도),0
139,김해시(경상남도),0
140,남해군(경상남도),0
141,밀양시(경상남도),0
142,사천시(경상남도),0
143,산청군(경상남도),0
144,양산시(경상남도),0
145,의령군(경상남도),0
146,진주시(경상남도),0
147,창녕군(경상남도),2356.531311
148,창원시(경상남도),0
149,통영시(경상남도),3321.074351
150,하동군(경상남도),0
151,함안군(경상남도),10745.62669
152,함양군(경상남도),0
153,합천군(경상남도),6547.617801
154,경산시(경상북도),0
155,경주시(경상북도),0
156,고령군(경상북도),0
157,구미시(경상북도),6089.939024
158,군위군(경상북도),26588.19742
159,김천시(경상북도),603370.02
160,문경시(경상북도),2061.506661
161,봉화군(경상북도),10044.83568
162,상주시(경상북도),48529.4375
163,성주군(경상북도),7308.112296
164,안동시(경상북도),21915.84966
165,영덕군(경상북도),30244.52632
166,영양군(경상북도),1071.898858
167,영주시(경상북도),1353.01092
168,영천시(경상북도),0
169,예천군(경상북도),0
170,울릉군(경상북도),0
171,울진군(경상북도),0
172,의성군(경상북도),0
173,청도군(경상북도),0
174,청송군(경상북도),0
175,칠곡군(경상북도),0
176,포항시(경상북도),0
177,서귀포시(제주특별자치도),0
178,제주시(제주특별자치도),0